date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:34	7351/7351	---M-Z	200	added ('OK')	text/html	etag:%221cb7-5c29304418aed-gzip%22	https://themesbrand.com/minible/layouts/auth-register.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/auth-register.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:34	4580/4580	---M-Z	200	added ('OK')	text/html	etag:%2211e4-5c29304418aed-gzip%22	https://themesbrand.com/minible/layouts/auth-recoverpw.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/auth-recoverpw.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:34	4693/4693	---M-Z	200	added ('OK')	text/html	etag:%221255-5c29304418aed-gzip%22	https://themesbrand.com/minible/layouts/auth-lock-screen.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/auth-lock-screen.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:34	42795/42795	---M-Z	200	added ('OK')	text/html	etag:%22a72b-5c29304425612-gzip%22	https://themesbrand.com/minible/layouts/pages-starter.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/pages-starter.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:35	6688/6688	---M-Z	200	added ('OK')	text/html	etag:%221a20-5c29304424671-gzip%22	https://themesbrand.com/minible/layouts/pages-maintenance.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/pages-maintenance.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:35	4557/4557	---M-Z	200	added ('OK')	text/html	etag:%2211cd-5c29304424671-gzip%22	https://themesbrand.com/minible/layouts/pages-comingsoon.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/pages-comingsoon.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:35	53367/53367	---M-Z	200	added ('OK')	text/html	etag:%22d077-5c29304425612-gzip%22	https://themesbrand.com/minible/layouts/pages-timeline.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/pages-timeline.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:35	69668/69668	---M-Z	200	added ('OK')	text/html	etag:%2211024-5c29304424671-gzip%22	https://themesbrand.com/minible/layouts/pages-faqs.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/pages-faqs.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:35	51230/51230	---M-Z	200	added ('OK')	text/html	etag:%22c81e-5c29304425612-gzip%22	https://themesbrand.com/minible/layouts/pages-pricing.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/pages-pricing.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:36	2820/2820	---M-Z	200	added ('OK')	text/html	etag:%22b04-5c29304424671-gzip%22	https://themesbrand.com/minible/layouts/pages-404.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/pages-404.html	(from https://themesbrand.com/minible/layouts/index.html)
